start,end,asset_name,delta_downloads
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.15.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.15.6.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.15.7.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.10.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.10.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.6.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.7.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.8.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.4.9.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.5.1.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.5.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.6.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.7.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.8.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.6.9.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.7.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.8.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.8.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.8.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.8.6.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.8.7.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.9.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.9.2.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.9.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.9.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v0.9.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.1.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.1.5.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.1.6.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.1.7.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.2.1.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.2.3.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.2.4.zip,1
2026.8.11 14.16,2026.8.11 15.05,sf6_dashboard_bundle_v1.3.1.zip,1
